date,N0,LA,M0L
2025-12-05,34067.3619242178,24832.178657003453,34463.03774279801
2025-12-06,25505.73186202449,23476.221693373634,25744.475560893
2025-12-07,76040.10365632246,72567.25154977816,75002.09259118099
2025-12-08,74737.64157528323,73838.39781975413,74302.64052772721
2025-12-09,73786.36892082644,71844.76532485135,73392.39407384045
2025-12-10,86294.75899266526,72759.54159745073,74399.35275908066
2025-12-11,69384.08855873207,68335.95834628979,68666.61237097972
2025-12-12,23387.79753205401,22998.21064783894,23647.00090001801
2025-12-13,23507.633808529412,22684.80945532125,22743.820560060947
2025-12-14,96719.65881532301,76488.67170037207,80454.80876758989
2025-12-15,97537.59958002079,75466.54058255954,76404.46228307919
2025-12-16,72205.59355181806,71798.05349630327,71291.76125241011
2025-12-17,73124.07518326191,71121.50741483798,72549.92725778175
2025-12-18,79226.27659215481,71136.51346271596,78778.76085124045
2025-12-19,31887.720308124655,22290.16428784914,22824.446569750497
2025-12-20,21699.85849612531,21337.9730104306,21003.1964471574
2025-12-21,75093.20696426588,75675.02039546457,75422.97942359486
2025-12-22,82479.83685538362,73695.83727264601,81659.86460560295
2025-12-23,71487.09033927474,70631.7948946435,71237.10698939067
2025-12-24,74567.01949420058,71204.18525493906,74657.54326336175
2025-12-25,91920.08430180771,74458.42309161343,91933.1562326334
2025-12-26,31915.975429001708,23086.9900449724,31884.35549265371
2025-12-27,27331.615883977043,20968.13055918185,26562.987372457043
2025-12-28,69980.28724680959,69377.89418533324,69636.38670902357
2025-12-29,78036.35851674661,72123.32387869379,78012.4307056123
2025-12-30,73722.66256899017,69770.90742440903,73316.7167828501
2025-12-31,79733.95765691312,74124.87721343777,80032.52256625649
