purchase_error_kwh,locked_loss_divided_by_pi_kwh,open_loss_divided_by_pi_kwh
-0.6699999999999999,2.6799999999999997,0.33499999999999996
-0.6599999999999999,2.6399999999999997,0.32999999999999996
-0.6499999999999999,2.5999999999999996,0.32499999999999996
-0.6399999999999999,2.5599999999999996,0.31999999999999995
-0.6299999999999999,2.5199999999999996,0.31499999999999995
-0.62,2.48,0.31
-0.61,2.44,0.305
-0.6,2.4,0.3
-0.59,2.36,0.295
-0.58,2.32,0.29
-0.57,2.28,0.285
-0.5599999999999999,2.2399999999999998,0.27999999999999997
-0.5499999999999999,2.1999999999999997,0.27499999999999997
-0.5399999999999999,2.1599999999999997,0.26999999999999996
-0.5299999999999999,2.1199999999999997,0.26499999999999996
-0.5199999999999999,2.0799999999999996,0.25999999999999995
-0.5099999999999999,2.0399999999999996,0.25499999999999995
-0.4999999999999999,1.9999999999999996,0.24999999999999994
-0.49,1.96,0.245
-0.48,1.92,0.24
-0.47,1.88,0.235
-0.45999999999999996,1.8399999999999999,0.22999999999999998
-0.44999999999999996,1.7999999999999998,0.22499999999999998
-0.43999999999999995,1.7599999999999998,0.21999999999999997
-0.42999999999999994,1.7199999999999998,0.21499999999999997
-0.41999999999999993,1.6799999999999997,0.20999999999999996
-0.4099999999999999,1.6399999999999997,0.20499999999999996
-0.3999999999999999,1.5999999999999996,0.19999999999999996
-0.3899999999999999,1.5599999999999996,0.19499999999999995
-0.3799999999999999,1.5199999999999996,0.18999999999999995
-0.3699999999999999,1.4799999999999995,0.18499999999999994
-0.36,1.44,0.18
-0.35,1.4,0.175
-0.33999999999999997,1.3599999999999999,0.16999999999999998
-0.32999999999999996,1.3199999999999998,0.16499999999999998
-0.31999999999999995,1.2799999999999998,0.15999999999999998
-0.30999999999999994,1.2399999999999998,0.15499999999999997
-0.29999999999999993,1.1999999999999997,0.14999999999999997
-0.2899999999999999,1.1599999999999997,0.14499999999999996
-0.2799999999999999,1.1199999999999997,0.13999999999999996
-0.2699999999999999,1.0799999999999996,0.13499999999999995
-0.2599999999999999,1.0399999999999996,0.12999999999999995
-0.2499999999999999,0.9999999999999996,0.12499999999999994
-0.24,0.96,0.12
-0.22999999999999998,0.9199999999999999,0.11499999999999999
-0.21999999999999997,0.8799999999999999,0.10999999999999999
-0.20999999999999996,0.8399999999999999,0.10499999999999998
-0.19999999999999996,0.7999999999999998,0.09999999999999998
-0.18999999999999995,0.7599999999999998,0.09499999999999997
